cve_mun,alcaldia,y_2007,y_2010,y_2013,y_2016,y_2019
2,AZCAPOTZALCO,0.13,0.25,0.38,0.51,0.634
3,COYOACÁN,0.11,0.22,0.32,0.43,0.542
4,CUAJIMALPA DE MORELOS,0.03,0.06,0.09,0.13,0.157
5,GUSTAVO A. MADERO,0.07,0.14,0.21,0.28,0.349
6,IZTACALCO,0.09,0.17,0.26,0.35,0.437
7,IZTAPALAPA,0.05,0.1,0.15,0.2,0.25
8,LA MAGDALENA CONTRERAS,0.06,0.12,0.18,0.24,0.296
9,MILPA ALTA,0.04,0.08,0.11,0.15,0.188
10,ÁLVARO OBREGÓN,0.07,0.14,0.21,0.28,0.348
11,TLÁHUAC,0.02,0.04,0.07,0.09,0.109
12,TLALPAN,0.05,0.11,0.16,0.22,0.272
13,XOCHIMILCO,0.03,0.07,0.1,0.14,0.173
14,BENITO JUÁREZ,0.13,0.26,0.38,0.51,0.639
15,CUAUHTÉMOC,0.13,0.27,0.4,0.54,0.672
16,MIGUEL HIDALGO,0.13,0.25,0.38,0.5,0.63
17,VENUSTIANO CARRANZA,0.1,0.2,0.3,0.39,0.493
